date,latitude,longitude,iceberg,size
2000-05-04,-78.157,-169.888,b15b,3821.02
2000-05-05,-78.171,-170.278,b15b,3839.12
2000-05-06,-78.178,-170.474,b15b,3857.21
2000-05-07,-78.145,-170.702,b15b,3875.31
2000-05-08,-78.145,-170.702,b15b,3893.41
2000-05-09,-78.145,-170.702,b15b,3911.5
2000-05-10,-78.145,-170.702,b15b,3929.6
2000-05-11,-78.145,-170.702,b15b,3947.7
2000-05-12,-78.151,-170.897,b15b,3965.79
2000-05-13,-78.178,-170.474,b15b,3983.89
2000-05-14,-78.178,-170.474,b15b,4001.99
2000-05-15,-78.191,-170.866,b15b,4020.08
2000-05-16,-78.191,-170.866,b15b,4038.18
2000-05-17,-78.191,-170.866,b15b,4060.14
2000-05-18,-78.191,-170.866,b15b,4079.8
2000-05-19,-78.191,-170.866,b15b,4099.49
2000-05-20,-78.191,-170.866,b15b,4116.93
2000-05-21,-78.191,-170.866,b15b,4133.23
2000-05-22,-78.191,-170.866,b15b,4148.4
2000-05-23,-78.191,-170.866,b15b,4072.74
2000-05-24,-78.191,-170.866,b15b,4004.62
2000-05-25,-78.244,-171.228,b15b,3987.93
2000-05-26,-78.198,-171.062,b15b,3938.11
2000-05-27,-78.21,-171.455,b15b,3893.62
2000-05-28,-78.205,-170.877,b15b,3864.83
2000-05-29,-78.256,-171.623,b15b,3841.76
2000-05-30,-78.256,-171.623,b15b,3822.44
2000-05-31,-78.256,-171.623,b15b,3791.68
2000-06-01,-78.222,-171.849,b15b,3770.53
2000-06-02,-78.222,-171.849,b15b,3751.42
2000-06-03,-78.228,-172.046,b15b,3729.52
2000-06-04,-78.244,-172.639,b15b,3711.11
2000-06-05,-78.254,-173.035,b15b,3692.07
2000-06-06,-78.268,-173.63,b15b,3673.61
2000-06-07,-78.268,-173.63,b15b,3660.68
2000-06-08,-78.268,-173.63,b15b,3652.24
2000-06-09,-78.192,-173.872,b15b,3647.74
2000-06-10,-78.196,-174.069,b15b,3646.37
2000-06-11,-78.178,-173.295,b15b,3652.63
2000-06-12,-78.175,-173.34,b15b,3661.46
2000-06-13,-78.168,-173.382,b15b,3670.41
2000-06-14,-78.16,-173.518,b15b,3682.95
2000-06-15,-78.131,-173.662,b15b,3696.93
2000-06-16,-78.121,-173.694,b15b,3712.37
2000-06-17,-78.096,-173.831,b15b,3730.11
2000-06-18,-78.091,-173.761,b15b,3749.5
2000-06-19,-78.082,-173.795,b15b,3766.55
2000-06-20,-78.129,-173.708,b15b,3782.34
2000-06-21,-78.19,-173.815,b15b,3798.91
2000-06-22,-78.119,-174.307,b15b,3825.7
2000-06-23,-78.083,-174.522,b15b,3853.23
2000-06-24,-78.083,-174.522,b15b,3881.32
2000-06-25,-78.289,-173.813,b15b,3908.08
2000-06-26,-78.079,-174.326,b15b,3934.3
2000-06-27,-78.079,-174.326,b15b,3958.91
2000-06-28,-78.079,-174.326,b15b,3981.63
2000-06-29,-78.079,-174.326,b15b,3999.05
2000-06-30,-78.079,-174.326,b15b,4007.68
2000-07-01,-78.038,-174.345,b15b,4016.15
2000-07-02,-78.169,-174.173,b15b,4019.45
2000-07-03,-78.038,-174.345,b15b,4019.68
2000-07-04,-78.038,-174.345,b15b,4019.64
2000-07-05,-78.002,-174.559,b15b,4021.61
2000-07-06,-78.002,-174.559,b15b,4017.58
2000-07-07,-78.002,-174.559,b15b,4013.06
2000-07-08,-78.002,-174.559,b15b,4008.74
2000-07-09,-77.965,-174.772,b15b,4002.94
2000-07-10,-77.965,-174.772,b15b,3996.29
2000-07-11,-77.965,-174.772,b15b,3989.99
2000-07-12,-77.965,-174.772,b15b,3981.48
2000-07-13,-77.965,-174.772,b15b,3971.48
2000-07-14,-77.965,-174.772,b15b,3965.51
2000-07-15,-77.965,-174.772,b15b,3963.96
2000-07-16,-77.733,-174.636,b15b,3957.84
2000-07-17,-77.714,-174.741,b15b,3953.66
2000-07-18,-77.696,-174.846,b15b,3948.32
2000-07-19,-77.696,-174.846,b15b,3942.77
2000-07-20,-77.675,-174.854,b15b,3938.28
2000-07-21,-77.675,-174.854,b15b,3934.97
2000-07-22,-77.657,-174.958,b15b,3931.68
2000-07-23,-77.657,-174.958,b15b,3929.42
2000-07-24,-77.773,-175.432,b15b,3932.62
2000-07-25,-77.733,-175.447,b15b,3938.4
2000-07-26,-77.733,-175.447,b15b,3944.49
2000-07-27,-77.733,-175.447,b15b,3952.65
2000-07-28,-77.692,-175.462,b15b,3961.81
2000-07-29,-77.692,-175.462,b15b,3971.62
2000-07-30,-77.692,-175.462,b15b,3983.68
2000-07-31,-77.652,-175.477,b15b,3995.4
2000-08-01,-77.655,-175.667,b15b,4010.55
2000-08-02,-77.614,-175.681,b15b,4024.79
2000-08-03,-77.536,-175.897,b15b,4038.12
2000-08-04,-77.458,-176.11,b15b,4053.34
2000-08-05,-77.458,-176.11,b15b,4068.63
2000-08-06,-77.417,-176.123,b15b,4082.72
2000-08-07,-77.299,-176.344,b15b,4098.23
2000-08-08,-77.22,-176.551,b15b,4111.47
2000-08-09,-77.139,-176.573,b15b,4119.61
2000-08-10,-77.139,-176.573,b15b,4133.3
2000-08-11,-77.139,-176.573,b15b,4142.69
2000-08-12,-77.139,-176.573,b15b,4149.28
2000-08-13,-77.119,-176.386,b15b,4156.68
2000-08-14,-77.085,-176.392,b15b,4164.11
2000-08-15,-77.067,-176.392,b15b,4155.73
2000-08-16,-77.048,-176.392,b15b,4155.29
2000-08-17,-77.01,-176.397,b15b,4153.2
2000-08-18,-76.994,-176.397,b15b,4151.56
2000-08-19,-76.963,-176.403,b15b,4150.0
2000-08-20,-76.959,-176.403,b15b,4147.62
2000-08-21,-76.977,-176.616,b15b,4141.5
2000-08-22,-76.977,-176.616,b15b,4135.26
2000-08-23,-76.936,-176.626,b15b,4129.46
2000-08-24,-76.936,-176.626,b15b,4119.8
2000-08-25,-76.936,-176.626,b15b,4110.9
2000-08-26,-76.898,-176.816,b15b,4097.69
2000-08-27,-76.817,-176.835,b15b,4085.9
2000-08-28,-76.777,-176.845,b15b,4077.86
2000-08-29,-76.777,-176.845,b15b,4062.74
2000-08-30,-76.736,-176.855,b15b,4046.39
2000-08-31,-76.736,-176.855,b15b,4030.23
2000-09-01,-76.736,-176.855,b15b,4006.72
2000-09-02,-76.696,-176.865,b15b,3985.28
2000-09-03,-76.881,-176.669,b15b,3965.39
2000-09-04,-76.631,-177.088,b15b,3945.39
2000-09-05,-76.601,-177.264,b15b,3926.72
2000-09-06,-76.569,-177.409,b15b,3910.07
2000-09-07,-76.53,-177.469,b15b,3892.65
2000-09-08,-76.479,-177.182,b15b,3873.86
2000-09-09,-76.463,-177.71,b15b,3869.97
2000-09-10,-76.449,-177.485,b15b,3857.66
2000-09-11,-76.44,-177.538,b15b,3846.5
2000-09-12,-76.402,-177.629,b15b,3832.2
2000-09-13,-76.404,-177.975,b15b,3817.29
2000-09-14,-76.424,-178.055,b15b,3803.0
2000-09-15,-76.406,-178.155,b15b,3789.02
2000-09-16,-76.372,-177.843,b15b,3776.0
2000-09-17,-76.391,-177.108,b15b,3761.68
2000-09-18,-76.382,-177.793,b15b,3745.25
2000-09-19,-76.383,-177.89,b15b,3724.92
2000-09-20,-76.362,-177.814,b15b,3706.63
2000-09-21,-76.403,-177.891,b15b,3690.91
2000-09-22,-76.402,-177.891,b15b,3670.88
2000-09-23,-76.403,-177.881,b15b,3656.49
2000-09-24,-76.403,-177.881,b15b,3642.28
2000-09-25,-76.412,-177.837,b15b,3629.79
2000-09-26,-76.369,-177.586,b15b,3622.59
2000-09-27,-76.407,-178.226,b15b,3613.55
2000-09-28,-76.384,-178.055,b15b,3604.82
2000-09-29,-76.401,-177.717,b15b,3593.06
2000-09-30,-76.379,-177.457,b15b,3583.05
2000-10-01,-76.328,-176.609,b15b,3574.06
2000-10-02,-76.32,-176.531,b15b,3563.67
2000-10-03,-76.31,-176.509,b15b,3556.55
2000-10-04,-76.325,-176.797,b15b,3552.24
2000-10-05,-76.295,-176.794,b15b,3549.61
2000-10-06,-76.247,-176.88,b15b,3552.62
2000-10-07,-76.251,-176.918,b15b,3551.83
2000-10-08,-76.258,-176.939,b15b,3552.59
2000-10-09,-76.306,-177.34,b15b,3559.12
2000-10-10,-76.277,-177.48,b15b,3570.17
2000-10-11,-76.305,-177.255,b15b,3582.3
2000-10-12,-76.285,-177.259,b15b,3591.1
2000-10-13,-76.278,-177.481,b15b,3604.71
2000-10-14,-76.235,-177.389,b15b,3622.47
2000-10-15,-76.259,-177.654,b15b,3639.91
2000-10-16,-76.26,-177.741,b15b,3654.93
2000-10-17,-76.26,-177.737,b15b,3674.21
2000-10-18,-76.289,-177.685,b15b,3689.74
2000-10-19,-76.22,-177.834,b15b,3706.52
2000-10-20,-76.221,-178.002,b15b,3722.84
2000-10-21,-76.22,-177.906,b15b,3740.73
2000-10-22,-76.226,-177.609,b15b,3757.89
2000-10-23,-76.196,-177.792,b15b,3774.99
2000-10-24,-76.19,-177.443,b15b,3793.04
2000-10-25,-76.174,-177.317,b15b,3810.85
2000-10-26,-76.112,-177.068,b15b,3828.17
2000-10-27,-76.083,-177.029,b15b,3846.55
2000-10-28,-75.991,-176.739,b15b,3862.52
2000-10-29,-75.974,-176.728,b15b,3877.59
2000-10-30,-76.048,-176.756,b15b,3892.51
2000-10-31,-76.048,-176.756,b15b,3899.15
2000-11-01,-76.048,-176.756,b15b,3910.2
2000-11-02,-76.048,-176.756,b15b,3920.04
2000-11-03,-76.048,-176.756,b15b,3924.01
2000-11-04,-75.957,-176.76,b15b,3924.01
2000-11-05,-75.957,-176.76,b15b,3922.75
2000-11-06,-75.957,-176.76,b15b,3924.46
2000-11-07,-75.957,-176.76,b15b,3926.15
2000-11-08,-75.957,-176.76,b15b,3926.77
2000-11-09,-75.881,-176.935,b15b,3922.04
2000-11-10,-75.794,-177.056,b15b,3915.58
2000-11-11,-75.794,-177.056,b15b,3910.07
2000-11-12,-75.747,-176.928,b15b,3906.06
2000-11-13,-75.748,-176.837,b15b,3896.25
2000-11-14,-75.748,-176.837,b15b,3882.97
2000-11-15,-75.748,-176.837,b15b,3867.08
2000-11-16,-75.684,-176.781,b15b,3852.3
2000-11-17,-75.684,-176.781,b15b,3827.88
2000-11-18,-75.684,-176.781,b15b,3799.95
2000-11-19,-75.684,-176.781,b15b,3769.16
2000-11-20,-75.684,-176.781,b15b,3749.75
2000-11-21,-75.625,-176.928,b15b,3719.92
2000-11-22,-75.625,-176.928,b15b,3683.66
2000-11-23,-75.549,-176.964,b15b,3656.89
2000-11-24,-75.549,-176.964,b15b,3624.7
2000-11-25,-75.468,-176.91,b15b,3580.09
2000-11-26,-75.468,-176.91,b15b,3532.57
2000-11-27,-75.468,-176.91,b15b,3499.58
2000-11-28,-75.356,-176.884,b15b,3449.25
2000-11-29,-75.356,-176.884,b15b,3397.75
2000-11-30,-75.356,-176.884,b15b,3345.19
2000-12-01,-75.275,-177.032,b15b,3293.85
2000-12-02,-75.275,-177.032,b15b,3240.81
2000-12-03,-75.181,-177.209,b15b,3188.22
2000-12-04,-75.181,-177.209,b15b,3140.3
2000-12-05,-75.213,-176.963,b15b,3093.24
2000-12-06,-75.213,-176.963,b15b,3042.32
2000-12-07,-75.008,-177.04,b15b,2994.76
2000-12-08,-74.978,-176.972,b15b,2952.53
2000-12-09,-74.885,-177.135,b15b,2913.67
2000-12-10,-74.73,-177.208,b15b,2877.16
2000-12-11,-74.681,-177.031,b15b,2842.58
2000-12-12,-74.681,-177.031,b15b,2817.9
2000-12-13,-74.678,-176.879,b15b,2796.31
2000-12-14,-74.598,-176.892,b15b,2778.34
2000-12-15,-74.598,-176.892,b15b,2748.97
2000-12-16,-74.419,-177.075,b15b,2731.46
2000-12-17,-74.419,-177.075,b15b,2719.97
2000-12-18,-74.377,-177.007,b15b,2697.91
2000-12-19,-74.377,-177.007,b15b,2681.02
2000-12-20,-74.28,-177.72,b15b,2679.49
2000-12-21,-74.179,-177.738,b15b,2684.62
2000-12-22,-74.226,-177.695,b15b,2676.54
2000-12-23,-74.003,-177.654,b15b,2690.66
2000-12-24,-73.81,-177.474,b15b,2708.07
2000-12-25,-73.741,-177.62,b15b,2726.61
2000-12-26,-73.62,-177.638,b15b,2749.7
2000-12-27,-73.62,-177.638,b15b,2769.5
2000-12-28,-73.613,-177.736,b15b,2789.66
2000-12-29,-73.518,-177.582,b15b,2814.65
2000-12-30,-73.326,-177.712,b15b,2840.69
2000-12-31,-73.304,-177.648,b15b,2866.3
2001-01-01,-73.265,-177.654,b15b,2890.95
2001-01-02,-73.274,-177.338,b15b,2916.09
2001-01-03,-73.223,-177.237,b15b,2942.83
2001-01-04,-73.2,-177.168,b15b,2969.51
2001-01-05,-73.121,-177.258,b15b,2994.74
2001-01-06,-73.119,-177.174,b15b,3019.64
2001-01-07,-73.064,-177.866,b15b,3045.3
2001-01-08,-73.028,-177.032,b15b,3070.37
2001-01-09,-73.037,-177.122,b15b,3094.78
2001-01-10,-73.037,-177.122,b15b,3119.07
2001-01-11,-73.037,-177.122,b15b,3143.6
2001-01-12,-73.037,-177.122,b15b,3169.65
2001-01-13,-73.037,-177.122,b15b,3199.34
2001-01-14,-73.037,-177.122,b15b,3232.87
2001-01-15,-72.938,-177.513,b15b,3262.79
2001-01-16,-72.932,-177.506,b15b,3293.85
2001-01-17,-72.932,-177.506,b15b,3319.67
2001-01-18,-72.952,-177.547,b15b,3349.31
2001-01-19,-72.872,-177.962,b15b,3374.3
2001-01-20,-72.872,-177.962,b15b,3393.0
2001-01-21,-72.886,-177.781,b15b,3416.41
2001-01-22,-72.886,-177.792,b15b,3437.85
2001-01-23,-72.864,-177.596,b15b,3455.58
2001-01-24,-72.864,-177.639,b15b,3471.87
2001-01-25,-72.852,-177.835,b15b,3489.1
2001-01-26,-72.852,-177.891,b15b,3506.3
2001-01-27,-72.852,-177.948,b15b,3520.18
2001-01-28,-72.852,-178.001,b15b,3535.31
2001-01-29,-72.804,-177.802,b15b,3547.51
2001-01-30,-72.804,-177.802,b15b,3557.87
2001-01-31,-72.857,-178.068,b15b,3569.77
2001-02-01,-72.857,-178.068,b15b,3576.59
2001-02-02,-72.857,-178.068,b15b,3584.31
2001-02-03,-72.857,-178.068,b15b,3589.51
2001-02-04,-72.857,-178.068,b15b,3592.98
2001-02-05,-72.857,-178.068,b15b,3597.81
2001-02-06,-72.857,-178.068,b15b,3604.61
2001-02-07,-72.857,-178.068,b15b,3608.34
2001-02-08,-72.857,-178.068,b15b,3609.06
2001-02-09,-72.791,-178.354,b15b,3607.2
2001-02-10,-72.813,-178.907,b15b,3603.22
2001-02-11,-72.925,-179.469,b15b,3598.75
2001-02-12,-72.956,-179.747,b15b,3588.8
2001-02-13,-72.964,-179.822,b15b,3582.93
2001-02-14,-72.978,179.857,b15b,3576.65
2001-02-15,-72.987,179.781,b15b,3568.1
2001-02-16,-72.995,179.707,b15b,3564.56
2001-02-17,-73.024,179.438,b15b,3557.87
2001-02-18,-73.046,179.249,b15b,3547.84
2001-02-19,-72.992,179.398,b15b,3537.26
2001-02-20,-72.993,179.175,b15b,3525.87
2001-02-21,-72.993,179.175,b15b,3516.75
2001-02-22,-72.993,179.175,b15b,3500.72
2001-02-23,-72.993,179.175,b15b,3486.89
2001-02-24,-72.975,178.685,b15b,3477.62
2001-02-25,-72.975,178.685,b15b,3464.91
2001-02-26,-72.975,178.685,b15b,3456.85
2001-02-27,-72.975,178.685,b15b,3444.31
2001-02-28,-72.975,178.685,b15b,3429.4
2001-03-01,-72.975,178.685,b15b,3413.8
2001-03-02,-73.012,178.148,b15b,3398.8
2001-03-03,-73.012,178.148,b15b,3380.03
2001-03-04,-73.056,178.024,b15b,3361.21
2001-03-05,-73.054,177.975,b15b,3339.96
2001-03-06,-73.05,177.924,b15b,3320.89
2001-03-07,-73.033,177.648,b15b,3301.4
2001-03-08,-73.024,177.595,b15b,3282.63
2001-03-09,-73.015,177.544,b15b,3263.91
2001-03-10,-72.993,177.369,b15b,3244.81
2001-03-11,-72.984,177.326,b15b,3227.31
2001-03-12,-72.968,177.451,b15b,3210.19
2001-03-13,-72.968,177.451,b15b,3184.68
2001-03-14,-72.883,177.139,b15b,3160.94
2001-03-15,-72.815,176.965,b15b,3138.3
2001-03-16,-72.815,176.965,b15b,3119.6
2001-03-17,-72.815,176.965,b15b,3103.75
2001-03-18,-72.815,176.965,b15b,3087.61
2001-03-19,-72.815,176.965,b15b,3073.72
2001-03-20,-72.767,176.641,b15b,3060.1
2001-03-21,-72.767,176.641,b15b,3043.1
2001-03-22,-72.767,176.641,b15b,3031.26
2001-03-23,-72.767,176.641,b15b,3014.78
2001-03-24,-72.767,176.641,b15b,3002.1
2001-03-25,-72.683,176.471,b15b,2997.2
2001-03-26,-72.668,176.374,b15b,2992.9
2001-03-27,-72.584,176.174,b15b,2986.15
2001-03-28,-72.584,176.174,b15b,2980.94
2001-03-29,-72.584,176.174,b15b,2974.46
2001-03-30,-72.584,176.174,b15b,2969.6
2001-03-31,-72.584,176.174,b15b,2964.87
2001-04-01,-72.504,175.839,b15b,2960.5
2001-04-02,-72.504,175.839,b15b,2956.31
2001-04-03,-72.504,175.839,b15b,2952.27
2001-04-04,-72.504,175.839,b15b,2948.44
2001-04-05,-72.338,175.422,b15b,2944.85
2001-04-06,-72.338,175.422,b15b,2943.21
2001-04-07,-72.249,174.959,b15b,2943.47
2001-04-08,-72.249,174.959,b15b,2942.63
2001-04-09,-72.208,174.767,b15b,2944.76
2001-04-10,-72.208,174.767,b15b,2943.72
2001-04-11,-72.165,173.986,b15b,2941.39
2001-04-12,-72.149,173.674,b15b,2937.24
2001-04-13,-72.149,173.674,b15b,2935.25
2001-04-14,-72.149,173.674,b15b,2936.9
2001-04-15,-72.058,173.315,b15b,2927.94
2001-04-16,-72.044,173.265,b15b,2918.15
2001-04-17,-72.03,173.216,b15b,2914.04
2001-04-18,-72.017,173.171,b15b,2906.55
2001-04-19,-72.003,173.129,b15b,2893.09
2001-04-20,-71.965,172.92,b15b,2879.89
2001-04-21,-71.95,172.883,b15b,2864.15
2001-04-22,-71.872,172.548,b15b,2845.46
2001-04-23,-71.796,172.313,b15b,2828.59
2001-04-24,-71.778,172.281,b15b,2809.66
2001-04-25,-71.711,172.216,b15b,2790.3
2001-04-26,-71.691,172.187,b15b,2764.68
2001-04-27,-71.673,172.16,b15b,2739.5
2001-04-28,-71.655,172.135,b15b,2706.06
2001-04-29,-71.641,172.112,b15b,2677.78
2001-04-30,-71.629,172.093,b15b,2655.77
2001-05-01,-71.535,171.966,b15b,2632.03
2001-05-02,-71.526,171.952,b15b,2610.62
2001-05-03,-71.517,171.938,b15b,2582.86
2001-05-04,-71.508,171.922,b15b,2557.13
2001-05-05,-71.496,171.902,b15b,2531.96
2001-05-06,-71.481,171.876,b15b,2506.3
2001-05-07,-71.411,171.789,b15b,2483.27
2001-05-08,-71.38,171.716,b15b,2459.6
2001-05-09,-71.342,171.624,b15b,2432.4
2001-05-10,-71.244,171.44,b15b,2416.01
2001-05-11,-71.202,171.331,b15b,2397.92
2001-05-12,-71.129,171.155,b15b,2379.0
2001-05-13,-71.031,170.929,b15b,2363.26
2001-05-14,-70.967,170.771,b15b,2351.26
2001-05-15,-70.936,170.682,b15b,2339.69
2001-05-16,-70.852,170.439,b15b,2331.03
2001-05-17,-70.788,170.218,b15b,2324.25
2001-05-18,-70.728,170.029,b15b,2315.28
2001-05-19,-70.677,169.871,b15b,2308.53
2001-05-20,-70.617,169.671,b15b,2302.09
2001-05-21,-70.556,169.472,b15b,2302.11
2001-05-22,-70.484,169.199,b15b,2301.26
2001-05-23,-70.414,168.99,b15b,2308.79
2001-05-24,-70.369,168.747,b15b,2311.57
2001-05-25,-70.349,168.678,b15b,2307.84
2001-05-26,-70.283,168.562,b15b,2303.54
2001-05-27,-70.259,168.475,b15b,2297.71
2001-05-28,-70.204,168.265,b15b,2299.38
2001-05-29,-70.166,168.137,b15b,2300.86
2001-05-30,-70.08,167.811,b15b,2300.24
2001-05-31,-70.04,167.661,b15b,2298.96
2001-06-01,-69.913,167.213,b15b,2297.24
2001-06-02,-69.887,167.069,b15b,2295.62
2001-06-03,-69.833,166.846,b15b,2293.92
2001-06-04,-69.827,166.727,b15b,2292.05
2001-06-05,-69.785,166.473,b15b,2289.52
2001-06-06,-69.774,166.301,b15b,2287.06
2001-06-07,-69.771,166.193,b15b,2282.88
2001-06-08,-69.769,166.09,b15b,2277.77
2001-06-09,-69.766,165.991,b15b,2273.49
2001-06-10,-69.735,165.766,b15b,2269.3
2001-06-11,-69.77,166.532,b15b,2264.92
2001-06-12,-69.697,166.177,b15b,2261.0
2001-06-13,-69.697,166.177,b15b,2256.85
2001-06-14,-69.697,166.177,b15b,2252.95
2001-06-15,-69.689,165.584,b15b,2248.63
2001-06-16,-69.689,165.584,b15b,2244.92
2001-06-17,-69.695,164.946,b15b,2241.19
2001-06-18,-69.695,164.946,b15b,2236.91
2001-06-19,-69.695,164.946,b15b,2232.7
2001-06-20,-69.625,164.542,b15b,2229.84
2001-06-21,-69.596,164.159,b15b,2229.32
2001-06-22,-69.596,164.159,b15b,2229.02
2001-06-23,-69.596,164.159,b15b,2226.52
2001-06-24,-69.53,163.484,b15b,2224.96
2001-06-25,-69.501,163.133,b15b,2223.91
2001-06-26,-69.452,162.603,b15b,2222.91
2001-06-27,-69.452,162.603,b15b,2221.74
2001-06-28,-69.371,162.164,b15b,2220.04
2001-06-29,-69.371,162.164,b15b,2218.98
2001-06-30,-69.371,162.164,b15b,2217.18
2001-07-01,-69.235,161.943,b15b,2215.85
2001-07-02,-69.23,161.901,b15b,2215.76
2001-07-03,-69.227,161.865,b15b,2216.6
2001-07-04,-69.224,161.834,b15b,2216.55
2001-07-05,-69.151,161.746,b15b,2218.19
2001-07-06,-69.148,161.713,b15b,2220.34
2001-07-07,-69.132,161.6,b15b,2221.72
2001-07-08,-69.105,161.416,b15b,2223.34
2001-07-09,-69.083,161.271,b15b,2224.77
2001-07-10,-69.063,161.174,b15b,2226.72
2001-07-11,-69.015,161.017,b15b,2227.72
2001-07-12,-68.988,160.903,b15b,2228.33
2001-07-13,-68.934,160.815,b15b,2229.77
2001-07-14,-68.911,160.737,b15b,2231.77
2001-07-15,-68.893,160.695,b15b,2232.25
2001-07-16,-68.874,160.605,b15b,2232.37
2001-07-17,-68.862,160.592,b15b,2232.88
2001-07-18,-68.846,160.521,b15b,2232.69
2001-07-19,-68.826,160.44,b15b,2231.85
2001-07-20,-68.817,160.432,b15b,2229.35
2001-07-21,-68.748,160.233,b15b,2226.72
2001-07-22,-68.739,160.224,b15b,2224.41
2001-07-23,-68.713,160.038,b15b,2222.39
2001-07-24,-68.677,160.053,b15b,2216.92
2001-07-25,-68.67,160.045,b15b,2211.06
2001-07-26,-68.664,160.036,b15b,2204.2
2001-07-27,-68.618,159.999,b15b,2197.89
2001-07-28,-68.587,159.929,b15b,2192.64
2001-07-29,-68.579,159.912,b15b,2186.92
2001-07-30,-68.555,159.747,b15b,2179.03
2001-07-31,-68.52,159.752,b15b,2171.02
2001-08-01,-68.505,159.662,b15b,2165.0
2001-08-02,-68.451,159.584,b15b,2157.79
2001-08-03,-68.439,159.485,b15b,2150.85
2001-08-04,-68.438,159.231,b15b,2144.88
2001-08-05,-68.416,159.093,b15b,2139.95
2001-08-06,-68.433,159.487,b15b,2136.46
2001-08-07,-68.397,159.438,b15b,2134.55
2001-08-08,-68.397,159.438,b15b,2132.21
2001-08-09,-68.397,159.438,b15b,2132.15
2001-08-10,-68.28,159.034,b15b,2132.28
2001-08-11,-68.28,159.034,b15b,2133.6
2001-08-12,-68.28,159.034,b15b,2136.01
2001-08-13,-68.28,159.034,b15b,2139.53
2001-08-14,-68.269,158.677,b15b,2144.38
2001-08-15,-68.262,158.448,b15b,2150.44
2001-08-16,-68.241,158.327,b15b,2156.71
2001-08-17,-68.241,158.327,b15b,2169.53
2001-08-18,-68.187,158.018,b15b,2185.85
2001-08-19,-68.314,157.8,b15b,2201.77
2001-08-20,-68.304,157.686,b15b,2219.12
2001-08-21,-68.268,157.614,b15b,2244.33
2001-08-22,-68.244,157.568,b15b,2269.69
2001-08-23,-68.207,157.498,b15b,2298.41
2001-08-24,-68.183,157.453,b15b,2333.06
2001-08-25,-68.165,157.412,b15b,2367.95
2001-08-26,-68.142,157.275,b15b,2400.73
2001-08-27,-68.149,157.242,b15b,2432.38
2001-08-28,-68.165,157.212,b15b,2464.51
2001-08-29,-68.187,157.183,b15b,2496.76
2001-08-30,-68.222,156.797,b15b,2527.22
2001-08-31,-68.278,156.85,b15b,2556.15
2001-09-01,-68.295,156.827,b15b,2583.93
2001-09-02,-68.301,156.806,b15b,2611.67
2001-09-03,-68.32,156.66,b15b,2638.43
2001-09-04,-68.342,156.608,b15b,2665.39
2001-09-05,-68.378,156.549,b15b,2690.69
2001-09-06,-68.376,156.533,b15b,2715.74
2001-09-07,-68.373,156.518,b15b,2739.91
2001-09-08,-68.371,156.504,b15b,2764.05
2001-09-09,-68.394,156.426,b15b,2785.38
2001-09-10,-68.397,156.414,b15b,2807.1
2001-09-11,-68.434,156.46,b15b,2819.68
2001-09-12,-68.443,156.45,b15b,2834.08
2001-09-13,-68.454,156.44,b15b,2845.98
2001-09-14,-68.462,156.386,b15b,2849.35
2001-09-15,-68.469,156.376,b15b,2842.11
2001-09-16,-68.472,156.366,b15b,2834.53
2001-09-17,-68.454,156.31,b15b,2823.31
2001-09-18,-68.447,156.299,b15b,2806.33
2001-09-19,-68.46,156.227,b15b,2783.81
2001-09-20,-68.449,156.216,b15b,2761.78
2001-09-21,-68.44,156.205,b15b,2743.52
2001-09-22,-68.432,156.195,b15b,2723.33
2001-09-23,-68.43,156.186,b15b,2702.84
2001-09-24,-68.43,156.177,b15b,2682.92
2001-09-25,-68.43,156.167,b15b,2662.56
2001-09-26,-68.43,156.158,b15b,2643.01
2001-09-27,-68.43,156.149,b15b,2631.37
2001-09-28,-68.43,156.142,b15b,2613.76
2001-09-29,-68.43,156.138,b15b,2596.7
2001-09-30,-68.409,156.11,b15b,2584.47
2001-10-01,-68.409,156.11,b15b,2572.02
2001-10-02,-68.409,156.11,b15b,2559.97
2001-10-03,-68.409,156.11,b15b,2550.05
2001-10-04,-68.409,156.11,b15b,2541.12
2001-10-05,-68.409,156.11,b15b,2532.5
2001-10-06,-68.409,156.11,b15b,2527.13
2001-10-07,-68.387,156.107,b15b,2522.32
2001-10-08,-68.387,156.104,b15b,2521.97
2001-10-09,-68.387,156.097,b15b,2533.19
2001-10-10,-68.387,156.087,b15b,2546.48
2001-10-11,-68.387,156.074,b15b,2558.69
2001-10-12,-68.387,156.06,b15b,2572.11
2001-10-13,-68.387,156.046,b15b,2587.81
2001-10-14,-68.387,156.032,b15b,2608.81
2001-10-15,-68.373,156.113,b15b,2625.91
2001-10-16,-68.373,156.113,b15b,2639.5
2001-10-17,-68.373,156.113,b15b,2654.57
2001-10-18,-68.317,155.796,b15b,2668.14
2001-10-19,-68.317,155.796,b15b,2683.92
2001-10-20,-68.244,155.666,b15b,2699.99
2001-10-21,-68.244,155.666,b15b,2713.57
2001-10-22,-68.244,155.666,b15b,2719.13
2001-10-23,-68.244,155.666,b15b,2734.33
2001-10-24,-68.244,155.666,b15b,2740.3
2001-10-25,-68.244,155.666,b15b,2745.47
2001-10-26,-68.244,155.451,b15b,2750.07
2001-10-27,-68.244,155.451,b15b,2753.87
2001-10-28,-68.222,155.425,b15b,2755.66
2001-10-29,-68.224,155.416,b15b,2758.15
2001-10-30,-68.229,155.408,b15b,2757.19
2001-10-31,-68.236,155.401,b15b,2761.27
2001-11-01,-68.245,155.395,b15b,2765.32
